"CD_CONTA","CONTA","TRIMESTRE","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"1","1 - Ativo Total","4T20",2295251,121069,1644712,11433926,5101409,863529,507270,5176777,4716450,3749999,4354640,820057,7282039,1280373,1196535,1693791,124698,18062015,1790464,0,1321191,2077260,1730597,580094,825317,961345,1579829,1632496,387044,1743807,3655533,4236719,2176901,323481,1129354,459542
"1.01","1.01 - Ativo Circulante","4T20",947064,26463,1352511,6058633,2666332,198015,434276,3798373,2147664,2542887,3178735,426286,1859590,1080933,820478,1398361,62131,8564095,1587034,0,1083022,880470,1366354,507150,624717,905420,596038,601200,184873,704430,2156794,2758896,1680830,116473,868225,250899
"1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",21227,95,291125,200083,731569,7158,143657,366322,77351,29038,115886,97754,480160,9736,122250,899714,10168,1080705,6491,0,223197,49538,109288,338942,119256,204223,64377,24773,44078,101813,576761,69735,478720,28993,122044,28332
"1.01.02","1.01.02 - Aplicações Financeiras","4T20",322860,17389,139773,1641818,195360,101054,0,922582,999357,593082,333621,16476,561109,0,0,22102,0,0,695049,0,543181,8573,12663,0,0,0,0,27177,0,141889,36415,1235719,0,0,0,0
"1.01.03","1.01.03 - Contas a Receber","4T20",202711,5007,627243,1355208,246717,9693,112840,664616,277096,487083,584510,44784,418490,153099,130909,209145,13452,1843822,885494,0,150642,224841,226287,84532,155680,151693,289048,339145,26922,47172,566688,562971,518171,22682,220612,65299
"1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",400266,2317,24093,161378,224491,808,177779,120717,36875,189843,70683,4600,153153,69044,567319,4367,1335,1898290,0,0,13473,9857,11877,39020,21673,549504,49756,23395,14879,37260,112520,112752,10720,5674,15517,32368
"1.02","1.02 - Ativo Não Circulante","4T20",1348187,94606,292201,5375293,2435077,665514,72994,1378404,2568786,1207112,1175905,393771,5422449,199440,376057,295430,62567,9497920,203430,0,238169,1196790,364243,72944,200600,55925,983791,1031296,202171,1039377,1498739,1477823,496071,207008,261129,208643
"1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",785685,92966,250584,3214871,2258264,665514,54878,1339467,2152037,750870,840999,301761,923352,152724,292594,282180,10114,6850134,196051,0,220907,862076,332813,65130,123295,50387,889512,860474,197755,427405,1020954,1292600,410830,195192,242892,25273
"1.02.01.04","1.02.01.02 - Contas a Receber","4T20",501248,1381,172079,708346,159412,20268,28665,636414,893092,217169,231329,18249,210734,24242,104108,85496,522,1641094,192929,0,153459,285174,59707,36050,97985,15859,422373,80745,18580,147733,257895,348825,89617,1826,129708,23730
"1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",284437,4746,40318,221817,26142,12986,26000,210136,146655,228241,87458,3570,19789,2163,188486,615,1721,288336,0,0,21849,175258,119507,19884,1529,34528,13303,259948,427,10971,23887,30527,6059,16281,6063,336
