"CD_CONTA","CONTA","PERIODO","Alphaville","CR2","Cury","Cyrela","Direcional","EZ Inc","Emccamp","Even","Ez Tec","Gafisa","Helbor","Inter","JHSF","João Fortes","Kallas","Lavvi","Lindenberg","MRV","Melnick","Metrocasa","Mitre","Moura Dubex","PDG Realty","Pacaembu","Patrimar","Plano & Plano","RNI","Rossi","Sugoi","Tecnisa","Tegra","Tenda","Trisul","Viver","You Inc","Yuny"
"3.01","3.01 - Receita de Venda de Bens e/ou Serviços","2020",180202,2026,1144682,3823695,1500723,9388,355199,1671020,936628,884045,973821,223966,1170550,28984,384273,359507,30039,6646359,581449,0,411253,513301,208194,682889,435227,900952,316765,76159,183466,180647,499169,2282369,878960,44011,635790,99789
"3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","2020",-243218,-2568,-716292,-2573313,-978154,-2897,-235994,-1188582,-533513,-702824,-781708,-192562,-360121,-35377,-227363,-209716,-24516,-4772021,-451382,0,-271501,-374334,-136777,-497430,-266525,-569336,-249893,-42234,-120602,-196807,-329605,-1572011,-569017,-58040,-398066,-69816
"3.03","3.03 - Resultado Bruto","2020",-63016,-542,428390,1250382,522569,6491,119205,482438,403115,181221,192113,31404,810429,-6393,156910,149791,5523,1874338,130067,0,139752,138967,71417,185459,168702,331616,66872,33925,62864,-16160,169564,710358,309943,-14029,237724,29973
"3.04","3.04 - Despesas/Receitas Operacionais","2020",-239154,-14066,-203368,954495,-301206,-8886,-73339,-210377,-136982,-177618,-138973,-56879,5742,-141077,-87282,-30955,-1698,-1160603,-75387,0,-101685,-211280,-348178,-90776,-69409,-181107,-54690,-414378,-34377,-126401,-86922,-445710,-110847,-132172,-84024,-16744
"3.04.01","3.04.01 - Despesas com Vendas","2020",-21333,-1502,-102804,-326318,-158044,-773,-22597,-118807,-74449,-28992,-84944,-17839,-25863,-66648,-40834,-18098,0,-649261,-42220,0,-38937,-50655,-24208,-32838,-29331,0,-32052,-58820,-12535,-18277,-41132,-200588,-59918,-4518,-59294,0
"3.04.02","3.04.02 - Despesas Gerais e Administrativas","2020",-68115,-8475,-96892,-390677,-115572,-3091,-47332,-120071,-104675,-81553,-95744,-32853,-142392,-29233,-41948,-14077,-7957,-433410,-27399,0,-58632,-46839,-64552,-62727,-31305,-59216,-42211,-33474,-19193,-65690,-44606,-154424,-74002,-29342,-30665,-32215
"3.04.04","3.04.04 - Outras Receitas Operacionais","2020",-15848,1177,11840,1492096,65114,0,-3410,0,10463,0,564,0,0,28696,-10900,0,3969,98083,-1932,0,0,0,0,-2670,0,0,7864,0,0,0,0,0,0,0,-141,-3153
"3.04.05","3.04.05 - Outras Despesas Operacionais","2020",-130786,5431,-17872,-226318,-96168,-5022,0,24170,-8174,-64733,0,-6187,172955,-66596,-321,-99,0,-129274,-3836,0,-4150,-121692,-257142,-480,-12174,-121891,0,-306848,-2582,-87856,-10207,-90218,-3171,-97507,1791,-7636
"3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","2020",-3072,0,2360,405712,3464,0,0,4331,39853,-2340,41151,0,1042,-7296,6721,1319,2290,-46741,0,0,34,7906,-2276,7939,3401,0,11709,-15236,-67,45422,9023,-480,26244,-805,4285,26260
"3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","2020",-302170,-14608,225022,2204877,221363,-2395,45866,272061,266133,3603,53140,-25475,816171,-147470,69628,118836,3825,713735,54680,0,38067,-72313,-276761,94683,99293,150509,12182,-380453,28487,-142561,82642,264648,199096,-146201,153700,13229
